Modality,Operator,PSNR,FOM
mri,Roberts,24.52378091459839,0.5746045860275657
mri,Frei-Chen,24.419051224531554,0.6059733243271037
mri,Sobel,22.293358679440473,0.754531781707852
mri,Prewitt,22.28452911925921,0.7647809554593064
mri,Kirsch,22.181609407731795,0.7739314566645765
mri,LoG,21.55637317924284,0.68850202475518
mri,Roberts,22.00982105163184,0.7167226444811508
mri,Frei-Chen,22.288265569846608,0.7592234852131363
mri,Sobel,23.030112429466016,0.6580564108643688
mri,Prewitt,23.02411133132541,0.6666101352000782
mri,Kirsch,22.858869120895626,0.6827437449934878
mri,LoG,22.402357234728235,0.6077228120709035
mri,Roberts,22.969183806113563,0.6215631948294787
mri,Frei-Chen,23.026474827506966,0.6631839751988304
mri,Sobel,23.76554997101656,0.5981338661034538
mri,Prewitt,23.77842637594375,0.609082872439208
mri,Kirsch,23.649768639809643,0.6210285175141601
mri,LoG,23.041443946716615,0.5648390562069688
mri,Roberts,23.568663472528254,0.5658147812430484
mri,Frei-Chen,23.771654871351075,0.6042321019949795
mri,Sobel,25.038350351347468,0.479357633505281
mri,Prewitt,25.00434194377963,0.4894316756794241
mri,Kirsch,24.941782171764224,0.4970165608664348
mri,LoG,24.047359767447777,0.47265843539068914
mri,Roberts,25.048616278221814,0.4454864923135304
mri,Frei-Chen,25.020460920548317,0.48398288888770025
mri,Sobel,23.905459409957686,0.6351993745880729
mri,Prewitt,23.843918863869114,0.6484594657306071
mri,Kirsch,23.831569276183235,0.6563232827693241
mri,LoG,22.860981263944645,0.6044966301068994
mri,Roberts,23.885724254750397,0.6051040542244391
mri,Frei-Chen,23.87572815533276,0.6411104741262625
mri,Sobel,23.900282233735183,0.6276884610048306
mri,Prewitt,23.843817761211326,0.638152788827626
mri,Kirsch,23.807135483490455,0.6489013670880448
mri,LoG,22.832459457868183,0.5930485954776796
mri,Roberts,23.96981533200753,0.5950521007620747
mri,Frei-Chen,23.870870529358786,0.6327879533267394
mri,Sobel,25.15584738355326,0.5409032347939297
mri,Prewitt,25.11442589889853,0.5496162152561044
mri,Kirsch,25.102788182583048,0.5654297169863897
mri,LoG,24.142429795213253,0.5245920568651405
mri,Roberts,25.124097383933147,0.5104582924006875
mri,Frei-Chen,25.134252871269908,0.5451948359996996
mri,Sobel,23.04390426315308,0.7343264146637969
mri,Prewitt,22.98312477514591,0.7412972689005562
mri,Kirsch,22.95902582779913,0.7534874553513269
mri,LoG,22.04140779389477,0.681149622015233
mri,Roberts,23.163330753008616,0.7062675869059959
mri,Frei-Chen,23.012025187313967,0.7375825120888229
mri,Sobel,22.94974281772102,0.7549828902094623
mri,Prewitt,22.888204298463993,0.7620310347182838
mri,Kirsch,22.908403574721405,0.7701422619831684
